epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,624,,,,,0.12474644929170609,2.942927598953247
0,624,,,0.09163665771484375,2.9481236934661865,,
1,1249,,,,,0.12068965286016464,2.9103782176971436
1,1249,,,0.1354541778564453,2.8555102348327637,,
2,1874,,,,,0.12373225390911102,2.8934457302093506
2,1874,,,0.13970588147640228,2.8268463611602783,,
3,2499,,,,,0.1348884403705597,2.870879888534546
3,2499,,,0.14235694706439972,2.8044919967651367,,
4,3124,,,,,0.12373225390911102,2.855306386947632
4,3124,,,0.14375750720500946,2.7844059467315674,,
5,3749,,,,,0.1267748475074768,2.8417177200317383
5,3749,,,0.1405562162399292,2.7670528888702393,,
6,4374,,,,,0.12373225390911102,2.8313498497009277
6,4374,,,0.1393057256937027,2.754483938217163,,
7,4999,,,,,0.10851927101612091,2.8117947578430176
7,4999,,,0.13705481588840485,2.7428205013275146,,
8,5624,,,,,0.10547666996717453,2.7768325805664062
8,5624,,,0.1299019604921341,2.72804594039917,,
9,6249,,,,,0.09939148277044296,2.7614967823028564
9,6249,,,0.12530012428760529,2.7118020057678223,,
10,6874,,,,,0.05882352963089943,nan
10,6874,,,0.09778911620378494,nan,,
11,7499,,,,,0.05882352963089943,nan
11,7499,,,0.05882352963089943,nan,,
12,8124,,,,,0.05882352963089943,nan
12,8124,,,0.05882352963089943,nan,,
13,8749,,,,,0.05882352963089943,nan
13,8749,,,0.05882352963089943,nan,,
14,9374,,,,,0.05882352963089943,nan
14,9374,,,0.05882352963089943,nan,,
15,9999,,,,,0.05882352963089943,nan
15,9999,,,0.05882352963089943,nan,,
16,10624,,,,,0.05882352963089943,nan
16,10624,,,0.05882352963089943,nan,,
17,11249,,,,,0.05882352963089943,nan
17,11249,,,0.05882352963089943,nan,,
18,11874,,,,,0.05882352963089943,nan
18,11874,,,0.05882352963089943,nan,,
19,12499,,,,,0.05882352963089943,nan
19,12499,,,0.05882352963089943,nan,,
20,13124,,,,,0.05882352963089943,nan
20,13124,,,0.05882352963089943,nan,,
21,13749,,,,,0.05882352963089943,nan
21,13749,,,0.05882352963089943,nan,,
22,14374,,,,,0.05882352963089943,nan
22,14374,,,0.05882352963089943,nan,,
23,14999,,,,,0.05882352963089943,nan
23,14999,,,0.05882352963089943,nan,,
24,15624,,,,,0.05882352963089943,nan
24,15624,,,0.05882352963089943,nan,,
25,16249,,,,,0.05882352963089943,nan
25,16249,,,0.05882352963089943,nan,,
26,16874,,,,,0.05882352963089943,nan
26,16874,,,0.05882352963089943,nan,,
27,17499,,,,,0.05882352963089943,nan
27,17499,,,0.05882352963089943,nan,,
28,18124,,,,,0.05882352963089943,nan
28,18124,,,0.05882352963089943,nan,,
29,18749,,,,,0.05882352963089943,nan
29,18749,,,0.05882352963089943,nan,,
30,19374,,,,,0.05882352963089943,nan
30,19374,,,0.05882352963089943,nan,,
31,19999,,,,,0.05882352963089943,nan
31,19999,,,0.05882352963089943,nan,,
32,20624,,,,,0.05882352963089943,nan
32,20624,,,0.05882352963089943,nan,,
33,21249,,,,,0.05882352963089943,nan
33,21249,,,0.05882352963089943,nan,,
34,21874,,,,,0.05882352963089943,nan
34,21874,,,0.05882352963089943,nan,,
35,22499,,,,,0.05882352963089943,nan
35,22499,,,0.05882352963089943,nan,,
36,23124,,,,,0.05882352963089943,nan
36,23124,,,0.05882352963089943,nan,,
37,23749,,,,,0.05882352963089943,nan
37,23749,,,0.05882352963089943,nan,,
38,24374,,,,,0.05882352963089943,nan
38,24374,,,0.05882352963089943,nan,,
39,24999,,,,,0.05882352963089943,nan
39,24999,,,0.05882352963089943,nan,,
40,25624,,,,,0.05882352963089943,nan
40,25624,,,0.05882352963089943,nan,,
41,26249,,,,,0.05882352963089943,nan
41,26249,,,0.05882352963089943,nan,,
42,26874,,,,,0.05882352963089943,nan
42,26874,,,0.05882352963089943,nan,,
43,27499,,,,,0.05882352963089943,nan
43,27499,,,0.05882352963089943,nan,,
44,28124,,,,,0.05882352963089943,nan
44,28124,,,0.05882352963089943,nan,,
45,28749,,,,,0.05882352963089943,nan
45,28749,,,0.05882352963089943,nan,,
46,29374,,,,,0.05882352963089943,nan
46,29374,,,0.05882352963089943,nan,,
47,29999,,,,,0.05882352963089943,nan
47,29999,,,0.05882352963089943,nan,,
48,30624,,,,,0.05882352963089943,nan
48,30624,,,0.05882352963089943,nan,,
49,31249,,,,,0.05882352963089943,nan
49,31249,,,0.05882352963089943,nan,,
50,31250,,,,,0.05882352963089943,nan
50,31250,0.05882352963089943,nan,,,,
