epoch,step,test_LRAP,test_acc,test_loss,test_mAP,train_LRAP,train_acc,train_loss,train_mAP,val_LRAP,val_acc,val_loss,val_mAP
0,624,,,,,,,,,0.08727909624576569,0.0872790738940239,20.859424591064453,0.0872790664434433
0,624,,,,,0.08946975320577621,0.08946976810693741,21.703580856323242,0.08946976810693741,,,,
1,1249,,,,,,,,,0.08727909624576569,0.0872790738940239,20.227760314941406,0.0872790664434433
1,1249,,,,,0.08946970850229263,0.08946976810693741,20.496131896972656,0.08946976810693741,,,,
2,1874,,,,,,,,,0.08727909624576569,0.0872790738940239,18.760732650756836,0.0872790664434433
2,1874,,,,,0.08946974575519562,0.08946976810693741,19.263080596923828,0.08946976810693741,,,,
3,2499,,,,,,,,,0.08727909624576569,0.0872790738940239,18.579219818115234,0.0872790664434433
3,2499,,,,,0.08946971595287323,0.08946976810693741,18.54520606994629,0.08946976810693741,,,,
4,3124,,,,,,,,,0.08727909624576569,0.0872790738940239,18.541065216064453,0.0872790664434433
4,3124,,,,,0.08946975320577621,0.08946976810693741,18.49999237060547,0.08946976810693741,,,,
5,3749,,,,,,,,,0.08727909624576569,0.0872790738940239,18.404407501220703,0.0872790664434433
5,3749,,,,,0.08946974575519562,0.08946976810693741,18.380250930786133,0.08946976810693741,,,,
6,4374,,,,,,,,,0.08727909624576569,0.0872790738940239,18.397003173828125,0.0872790664434433
6,4374,,,,,0.08946970850229263,0.08946976810693741,18.32782745361328,0.08946976810693741,,,,
7,4999,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395565032958984,0.0872790664434433
7,4999,,,,,0.08946981281042099,0.08946976810693741,18.32421112060547,0.08946976810693741,,,,
8,5624,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395505905151367,0.0872790664434433
8,5624,,,,,0.08946974575519562,0.08946976810693741,18.323911666870117,0.08946976810693741,,,,
9,6249,,,,,,,,,0.08727909624576569,0.0872790738940239,18.39479637145996,0.0872790664434433
9,6249,,,,,0.08946971595287323,0.08946976810693741,18.323816299438477,0.08946976810693741,,,,
10,6874,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396183013916016,0.0872790664434433
10,6874,,,,,0.0894697904586792,0.08946976810693741,18.324214935302734,0.08946976810693741,,,,
11,7499,,,,,,,,,0.08727909624576569,0.0872790738940239,18.398393630981445,0.0872790664434433
11,7499,,,,,0.08946975320577621,0.08946976810693741,18.323680877685547,0.08946976810693741,,,,
12,8124,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396263122558594,0.0872790664434433
12,8124,,,,,0.08946972340345383,0.08946976810693741,18.324058532714844,0.08946976810693741,,,,
13,8749,,,,,,,,,0.08727909624576569,0.0872790738940239,18.398805618286133,0.0872790664434433
13,8749,,,,,0.08946976810693741,0.08946976810693741,18.323993682861328,0.08946976810693741,,,,
14,9374,,,,,,,,,0.08727909624576569,0.0872790738940239,18.394311904907227,0.0872790664434433
14,9374,,,,,0.08946973085403442,0.08946976810693741,18.324161529541016,0.08946976810693741,,,,
15,9999,,,,,,,,,0.08727909624576569,0.0872790738940239,18.39802360534668,0.0872790664434433
15,9999,,,,,0.08946974575519562,0.08946976810693741,18.323871612548828,0.08946976810693741,,,,
16,10624,,,,,,,,,0.08727909624576569,0.0872790738940239,18.399677276611328,0.0872790664434433
16,10624,,,,,0.08946961164474487,0.08946976810693741,18.324464797973633,0.08946976810693741,,,,
17,11249,,,,,,,,,0.08727909624576569,0.0872790738940239,18.39874839782715,0.0872790664434433
17,11249,,,,,0.08946973830461502,0.08946976810693741,18.323945999145508,0.08946976810693741,,,,
18,11874,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396799087524414,0.0872790664434433
18,11874,,,,,0.0894697979092598,0.08946976810693741,18.323970794677734,0.08946976810693741,,,,
19,12499,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395069122314453,0.0872790664434433
19,12499,,,,,0.08946976065635681,0.08946976810693741,18.32400894165039,0.08946976810693741,,,,
20,13124,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396446228027344,0.0872790664434433
20,13124,,,,,0.08946970850229263,0.08946976810693741,18.323942184448242,0.08946976810693741,,,,
21,13749,,,,,,,,,0.08727909624576569,0.0872790738940239,18.394615173339844,0.0872790664434433
21,13749,,,,,0.089469775557518,0.08946976810693741,18.324567794799805,0.08946976810693741,,,,
22,14374,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396474838256836,0.0872790664434433
22,14374,,,,,0.08946974575519562,0.08946976810693741,18.32411003112793,0.08946976810693741,,,,
23,14999,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395721435546875,0.0872790664434433
23,14999,,,,,0.08946972340345383,0.08946976810693741,18.324064254760742,0.08946976810693741,,,,
24,15624,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395368576049805,0.0872790664434433
24,15624,,,,,0.08946970850229263,0.08946976810693741,18.324047088623047,0.08946976810693741,,,,
25,16249,,,,,,,,,0.08727909624576569,0.0872790738940239,18.396337509155273,0.0872790664434433
25,16249,,,,,0.08946974575519562,0.08946976810693741,18.323949813842773,0.08946976810693741,,,,
26,16874,,,,,,,,,0.08727909624576569,0.0872790738940239,18.397274017333984,0.0872790664434433
26,16874,,,,,0.08946973830461502,0.08946976810693741,18.323938369750977,0.08946976810693741,,,,
27,17499,,,,,,,,,0.08727909624576569,0.0872790738940239,18.395132064819336,0.0872790664434433
27,17499,,,,,0.08946970105171204,0.08946976810693741,18.323833465576172,0.08946976810693741,,,,
