epoch,logits_mean,probs_std,step,test_loss,test_mAP,train_loss,train_mAP,val_loss,val_mAP
0,,,624,,,,,17.685548782348633,0.0872790664434433
0,20.694000244140625,0.0,624,,,18.83016014099121,0.08946976810693741,,
1,,,1249,,,,,17.414321899414062,0.0872790664434433
1,19.00684928894043,0.0,1249,,,17.308408737182617,0.08946976810693741,,
2,,,1874,,,,,16.85629653930664,0.0872790664434433
2,18.55422592163086,0.0,1874,,,16.900100708007812,0.08946976810693741,,
3,,,2499,,,,,16.741994857788086,0.0872790664434433
3,18.28795051574707,0.0,2499,,,16.66010856628418,0.08946976810693741,,
4,,,3124,,,,,16.736923217773438,0.0872790664434433
4,18.175050735473633,0.0,3124,,,16.55786895751953,0.08946976810693741,,
5,,,3749,,,,,16.594640731811523,0.0872790664434433
5,18.078950881958008,0.0,3749,,,16.471046447753906,0.08946976810693741,,
6,,,4374,,,,,16.502405166625977,0.0872790664434433
6,17.997575759887695,0.0,4374,,,16.397197723388672,0.08946976810693741,,
7,,,4999,,,,,16.45953369140625,0.0872790664434433
7,17.91182518005371,0.0,4999,,,16.31934356689453,0.08946976810693741,,
8,,,5624,,,,,16.407466888427734,0.0872790664434433
8,17.86479949951172,0.0,5624,,,16.27626609802246,0.08946976810693741,,
9,,,6249,,,,,16.424528121948242,0.0872790664434433
9,17.815000534057617,0.0,6249,,,16.231176376342773,0.08946976810693741,,
10,,,6874,,,,,16.341047286987305,0.0872790664434433
10,17.7718505859375,0.0,6874,,,16.19192886352539,0.08946976810693741,,
11,,,7499,,,,,16.330097198486328,0.0872790664434433
11,17.729999542236328,0.0,7499,,,16.15423011779785,0.08946976810693741,,
12,,,8124,,,,,16.281259536743164,0.0872790664434433
12,17.694725036621094,0.0,8124,,,16.122541427612305,0.08946976810693741,,
13,,,8749,,,,,16.259084701538086,0.0872790664434433
13,17.67639923095703,0.0,8749,,,16.105640411376953,0.08946976810693741,,
14,,,9374,,,,,16.237030029296875,0.0872790664434433
14,17.65672492980957,0.0,9374,,,16.087642669677734,0.08946976810693741,,
15,,,9999,,,,,16.221927642822266,0.0872790664434433
15,17.633874893188477,0.0,9999,,,16.06700325012207,0.08946976810693741,,
16,,,10624,,,,,16.262699127197266,0.0872790664434433
16,17.6054744720459,0.0,10624,,,16.041473388671875,0.08946976810693741,,
17,,,11249,,,,,16.20702362060547,0.0872790664434433
17,17.60092544555664,0.0,11249,,,16.03676414489746,0.08946976810693741,,
18,,,11874,,,,,16.176939010620117,0.0872790664434433
18,17.583049774169922,0.0,11874,,,16.020708084106445,0.08946976810693741,,
19,,,12499,,,,,16.190898895263672,0.0872790664434433
19,17.564350128173828,0.0,12499,,,16.003690719604492,0.08946976810693741,,
20,,,13124,,,,,16.145984649658203,0.0872790664434433
20,17.559524536132812,0.0,13124,,,15.999568939208984,0.08946976810693741,,
21,,,13749,,,,,16.140798568725586,0.0872790664434433
21,17.549100875854492,0.0,13749,,,15.989967346191406,0.08946976810693741,,
22,,,14374,,,,,16.145610809326172,0.0872790664434433
22,17.518775939941406,0.0,14374,,,15.9625825881958,0.08946976810693741,,
23,,,14999,,,,,16.155113220214844,0.0872790664434433
23,17.523174285888672,0.0,14999,,,15.966529846191406,0.08946976810693741,,
24,,,15624,,,,,16.118427276611328,0.0872790664434433
24,17.50455093383789,0.0,15624,,,15.949649810791016,0.08946976810693741,,
25,,,16249,,,,,16.176292419433594,0.0872790664434433
