epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,312,,,,0.2736000120639801,1.9709405899047852
0,312,,0.17479999363422394,2.1760811805725098,,
1,625,,,,0.3001999855041504,1.9460593461990356
1,625,,0.29420000314712524,1.9345250129699707,,
2,938,,,,0.3325999975204468,1.8652046918869019
2,938,,0.32710000872612,1.8790374994277954,,
3,1251,,,,0.34200000762939453,1.8185827732086182
3,1251,,0.3305000066757202,1.8426437377929688,,
4,1564,,,,0.3278000056743622,1.812665581703186
4,1564,,0.34209999442100525,1.8168859481811523,,
5,1877,,,,0.3564000129699707,1.800626516342163
5,1877,,0.3391000032424927,1.7985172271728516,,
6,2190,,,,0.34860000014305115,1.77583909034729
6,2190,,0.34360000491142273,1.790832757949829,,
7,2503,,,,0.34360000491142273,1.7743375301361084
7,2503,,0.34549999237060547,1.7729359865188599,,
8,2816,,,,0.3352000117301941,1.7704390287399292
8,2816,,0.35429999232292175,1.7711750268936157,,
9,3129,,,,0.39719998836517334,1.7438594102859497
9,3129,,0.3610000014305115,1.7584656476974487,,
10,3442,,,,0.37940001487731934,1.7508233785629272
10,3442,,0.3799000084400177,1.7440265417099,,
11,3755,,,,0.4106000065803528,1.728670358657837
11,3755,,0.38440001010894775,1.743456244468689,,
12,4068,,,,0.3425999879837036,1.7602859735488892
12,4068,,0.3774999976158142,1.7415688037872314,,
13,4381,,,,0.362199991941452,1.7350671291351318
13,4381,,0.3869999945163727,1.7269015312194824,,
14,4694,,,,0.35839998722076416,1.7389968633651733
14,4694,,0.3806999921798706,1.7431093454360962,,
15,5007,,,,0.358599990606308,1.7196953296661377
15,5007,,0.3822999894618988,1.7289984226226807,,
16,5320,,,,0.36880001425743103,1.7246140241622925
16,5320,,0.39430001378059387,1.7182047367095947,,
17,5633,,,,0.39980000257492065,1.7165640592575073
17,5633,,0.3912000060081482,1.7170140743255615,,
18,5946,,,,0.3617999851703644,1.7396671772003174
18,5946,,0.3779999911785126,1.7175390720367432,,
19,6259,,,,0.4251999855041504,1.7024375200271606
19,6259,,0.3880000114440918,1.711134433746338,,
20,6572,,,,0.35280001163482666,1.7156765460968018
20,6572,,0.3944000005722046,1.7148828506469727,,
21,6885,,,,0.3799999952316284,1.7113937139511108
21,6885,,0.3901999890804291,1.7107875347137451,,
22,7198,,,,0.32120001316070557,1.798984408378601
22,7198,,0.3878999948501587,1.7151265144348145,,
23,7511,,,,0.37040001153945923,1.7037891149520874
23,7511,,0.3880000114440918,1.7095328569412231,,
24,7824,,,,0.35899999737739563,1.7073156833648682
24,7824,,0.3968000113964081,1.7059515714645386,,
25,8137,,,,0.42559999227523804,1.6986953020095825
25,8137,,0.4065000116825104,1.6956406831741333,,
26,8450,,,,0.4034000039100647,1.7150906324386597
26,8450,,0.39969998598098755,1.695214033126831,,
27,8763,,,,0.3474000096321106,1.714381217956543
27,8763,,0.3840000033378601,1.7064625024795532,,
28,9076,,,,0.41620001196861267,1.7006937265396118
28,9076,,0.4025000035762787,1.6977499723434448,,
29,9389,,,,0.36800000071525574,1.6850093603134155
29,9389,,0.38690000772476196,1.7000781297683716,,
30,9702,,,,0.43299999833106995,1.6767797470092773
30,9702,,0.40149998664855957,1.690514087677002,,
31,10015,,,,0.42980000376701355,1.7008343935012817
31,10015,,0.41110000014305115,1.6900218725204468,,
32,10328,,,,0.36739999055862427,1.7436703443527222
32,10328,,0.3898000121116638,1.714646816253662,,
33,10641,,,,0.3587999939918518,1.7007172107696533
33,10641,,0.37439998984336853,1.7330108880996704,,
34,10954,,,,0.4262000024318695,1.6862937211990356
34,10954,,0.400299996137619,1.6887155771255493,,
35,11267,,,,0.3741999864578247,1.7361562252044678
35,11267,,0.3792000114917755,1.727454662322998,,
36,11580,,,,0.37959998846054077,1.7360203266143799
36,11580,,0.3772999942302704,1.737625002861023,,
37,11893,,,,0.4246000051498413,1.70150625705719
37,11893,,0.3831999897956848,1.703545331954956,,
38,12206,,,,0.3837999999523163,1.7095797061920166
38,12206,,0.39480000734329224,1.6867812871932983,,
39,12519,,,,0.3693999946117401,1.7164281606674194
39,12519,,0.4131999909877777,1.683343768119812,,
40,12832,,,,0.43799999356269836,1.6792875528335571
40,12832,,0.40610000491142273,1.6812609434127808,,
41,13145,,,,0.4352000057697296,1.6866140365600586
41,13145,,0.41429999470710754,1.6832000017166138,,
42,13458,,,,0.3912000060081482,1.6953718662261963
42,13458,,0.41280001401901245,1.6808828115463257,,
43,13771,,,,0.4081999957561493,1.6871765851974487
43,13771,,0.41670000553131104,1.6751562356948853,,
44,14084,,,,0.3917999863624573,1.6989030838012695
44,14084,,0.41749998927116394,1.6926937103271484,,
45,14397,,,,0.40560001134872437,1.6843515634536743
45,14397,,0.42640000581741333,1.6716187000274658,,
46,14710,,,,0.42500001192092896,1.6796375513076782
46,14710,,0.42320001125335693,1.674106240272522,,
47,15023,,,,0.43560001254081726,1.682739019393921
47,15023,,0.4259999990463257,1.670064091682434,,
48,15336,,,,0.42719998955726624,1.6850031614303589
48,15336,,0.43639999628067017,1.6664968729019165,,
49,15649,,,,0.4406000077724457,1.6736234426498413
49,15649,,0.4198000133037567,1.667468786239624,,
50,15962,,,,0.3905999958515167,1.6695812940597534
50,15962,,0.4205000102519989,1.6774734258651733,,
51,16275,,,,0.37959998846054077,1.7230156660079956
51,16275,,0.40880000591278076,1.691462516784668,,
52,16588,,,,0.3977999985218048,1.6721312999725342
52,16588,,0.4172999858856201,1.6712015867233276,,
53,16901,,,,0.3882000148296356,1.673270344734192
53,16901,,0.43149998784065247,1.6629562377929688,,
54,17214,,,,0.45100000500679016,1.6709578037261963
54,17214,,0.4203000068664551,1.6677500009536743,,
55,17527,,,,0.3815999925136566,1.6761780977249146
55,17527,,0.43369999527931213,1.6628421545028687,,
56,17840,,,,0.45899999141693115,1.6559562683105469
56,17840,,0.43220001459121704,1.6614172458648682,,
57,18153,,,,0.44760000705718994,1.6690312623977661
57,18153,,0.4453999996185303,1.6594843864440918,,
58,18466,,,,0.45320001244544983,1.6544749736785889
58,18466,,0.43619999289512634,1.6597875356674194,,
59,18779,,,,0.39559999108314514,1.671496868133545
59,18779,,0.43799999356269836,1.661646842956543,,
60,19092,,,,0.4253999888896942,1.6751999855041504
60,19092,,0.42989999055862427,1.6623921394348145,,
61,19405,,,,0.39239999651908875,1.6718406677246094
61,19405,,0.43950000405311584,1.6597062349319458,,
62,19718,,,,0.4108000099658966,1.6552422046661377
62,19718,,0.4300000071525574,1.661010980606079,,
63,20031,,,,0.40639999508857727,1.6903250217437744
63,20031,,0.4392000138759613,1.6567749977111816,,
64,20344,,,,0.44440001249313354,1.670064091682434
64,20344,,0.42719998955726624,1.6696077585220337,,
65,20657,,,,0.39160001277923584,1.6742937564849854
65,20657,,0.4244999885559082,1.6736781597137451,,
66,20970,,,,0.3991999924182892,1.6772218942642212
66,20970,,0.44850000739097595,1.6486890316009521,,
67,21283,,,,0.4189999997615814,1.6592016220092773
67,21283,,0.42669999599456787,1.6734702587127686,,
68,21596,,,,0.4339999854564667,1.653782844543457
68,21596,,0.4487000107765198,1.6557109355926514,,
