epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,470,,,,,0.7197197079658508,0.6221367716789246
0,470,,,0.670849084854126,0.6340480446815491,,
1,941,,,,,0.781781792640686,0.6116766333580017
1,941,,,0.7678417563438416,0.6115027666091919,,
2,1412,,,,,0.8068068027496338,0.6060821413993835
2,1412,,,0.7995750904083252,0.6044118404388428,,
3,1883,,,,,0.8238238096237183,0.6031515002250671
3,1883,,,0.8131182193756104,0.6011418700218201,,
4,2354,,,,,0.8248248100280762,0.6002897620201111
4,2354,,,0.8189603686332703,0.5983806252479553,,
5,2825,,,,,0.8448448181152344,0.5939777493476868
5,2825,,,0.8261302709579468,0.5947482585906982,,
6,3296,,,,,0.8448448181152344,0.5866740942001343
6,3296,,,0.8348934650421143,0.5856168270111084,,
7,3767,,,,,0.8478478193283081,0.5851564407348633
7,3767,,,0.8437230587005615,0.5820568203926086,,
8,4238,,,,,0.8598598837852478,0.5848074555397034
8,4238,,,0.8482373952865601,0.5805380344390869,,
9,4709,,,,,0.8478478193283081,0.5843719840049744
9,4709,,,0.8489676713943481,0.5792874097824097,,
10,5180,,,,,0.8508508801460266,0.5825674533843994
10,5180,,,0.8506273627281189,0.5779985785484314,,
11,5651,,,,,0.8538538813591003,0.5804134011268616
11,5651,,,0.8526853919029236,0.5767520070075989,,
12,6122,,,,,0.8548548817634583,0.5808498859405518
12,6122,,,0.8532828688621521,0.5755788087844849,,
13,6593,,,,,0.8538538813591003,0.5796298980712891
13,6593,,,0.853681206703186,0.5747967958450317,,
14,7064,,,,,0.8498498201370239,0.578437328338623
14,7064,,,0.8549425601959229,0.5742626786231995,,
15,7535,,,,,0.8588588833808899,0.5775553584098816
15,7535,,,0.8563367128372192,0.573677659034729,,
16,8006,,,,,0.848848819732666,0.5779849886894226
16,8006,,,0.8573989272117615,0.5731639266014099,,
17,8477,,,,,0.8418418169021606,0.5766870379447937
17,8477,,,0.8579300045967102,0.5724635124206543,,
18,8948,,,,,0.8438438177108765,0.5768028497695923
18,8948,,,0.8586602807044983,0.5719214677810669,,
19,9419,,,,,0.848848819732666,0.575806736946106
19,9419,,,0.8583283424377441,0.5714547634124756,,
20,9890,,,,,0.8638638854026794,0.5749040246009827
20,9890,,,0.8582619428634644,0.5712795853614807,,
21,10361,,,,,0.8438438177108765,0.5773664116859436
21,10361,,,0.8574653267860413,0.5707476735115051,,
