epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,312,,,,,0.18520000576972961,2.1166250705718994
0,312,,,0.16850000619888306,2.193056344985962,,
1,625,,,,,0.18639999628067017,2.0587875843048096
1,625,,,0.18970000743865967,2.0774624347686768,,
2,938,,,,,0.3303999900817871,1.819293737411499
2,938,,,0.2533999979496002,1.9537312984466553,,
3,1251,,,,,0.45419999957084656,1.4850187301635742
3,1251,,,0.41269999742507935,1.583465576171875,,
4,1564,,,,,0.4731999933719635,1.4373937845230103
4,1564,,,0.4514999985694885,1.4752609729766846,,
5,1877,,,,,0.47760000824928284,1.4235312938690186
5,1877,,,0.45910000801086426,1.4494234323501587,,
6,2190,,,,,0.49079999327659607,1.421026587486267
6,2190,,,0.4659999907016754,1.436354637145996,,
7,2503,,,,,0.49619999527931213,1.402928113937378
7,2503,,,0.4693000018596649,1.4263031482696533,,
8,2816,,,,,0.4828000068664551,1.4057718515396118
8,2816,,,0.47450000047683716,1.4205796718597412,,
9,3129,,,,,0.4860000014305115,1.3935641050338745
9,3129,,,0.47839999198913574,1.4140671491622925,,
10,3442,,,,,0.4867999851703644,1.3897093534469604
10,3442,,,0.48069998621940613,1.4084124565124512,,
11,3755,,,,,0.4887999892234802,1.3860546350479126
11,3755,,,0.48669999837875366,1.4032719135284424,,
12,4068,,,,,0.49720001220703125,1.3836156129837036
12,4068,,,0.4848000109195709,1.3986046314239502,,
13,4381,,,,,0.5005999803543091,1.380943775177002
13,4381,,,0.48829999566078186,1.3965624570846558,,
14,4694,,,,,0.5005999803543091,1.3768234252929688
14,4694,,,0.490200012922287,1.3918453454971313,,
15,5007,,,,,0.5081999897956848,1.376173496246338
15,5007,,,0.4903999865055084,1.3893390893936157,,
16,5320,,,,,0.5031999945640564,1.371385931968689
16,5320,,,0.490200012922287,1.387342929840088,,
17,5633,,,,,0.5058000087738037,1.3697922229766846
17,5633,,,0.49320000410079956,1.384001612663269,,
18,5946,,,,,0.504800021648407,1.3631922006607056
18,5946,,,0.49390000104904175,1.3825265169143677,,
19,6259,,,,,0.5044000148773193,1.3632891178131104
19,6259,,,0.4934999942779541,1.3795983791351318,,
20,6572,,,,,0.5044000148773193,1.362945318222046
20,6572,,,0.49630001187324524,1.37759530544281,,
21,6885,,,,,0.5037999749183655,1.3620063066482544
21,6885,,,0.4970000088214874,1.3763186931610107,,
22,7198,,,,,0.504800021648407,1.3573249578475952
22,7198,,,0.4966000020503998,1.3746968507766724,,
23,7511,,,,,0.5091999769210815,1.3577953577041626
23,7511,,,0.499099999666214,1.373175024986267,,
24,7824,,,,,0.510200023651123,1.3551890850067139
24,7824,,,0.4993000030517578,1.3706015348434448,,
25,8137,,,,,0.5059999823570251,1.3535031080245972
25,8137,,,0.49950000643730164,1.3707609176635742,,
26,8450,,,,,0.5073999762535095,1.354921817779541
26,8450,,,0.49939998984336853,1.3702640533447266,,
27,8763,,,,,0.5099999904632568,1.3510671854019165
27,8763,,,0.4984999895095825,1.3678406476974487,,
28,9076,,,,,0.508400022983551,1.3663421869277954
28,9076,,,0.5026999711990356,1.3667124509811401,,
29,9389,,,,,0.5058000087738037,1.3522249460220337
29,9389,,,0.5029000043869019,1.3659437894821167,,
30,9702,,,,,0.5103999972343445,1.3548765182495117
30,9702,,,0.5019999742507935,1.3630390167236328,,
31,10015,,,,,0.5148000121116638,1.3508734703063965
31,10015,,,0.5034000277519226,1.363823413848877,,
32,10328,,,,,0.5085999965667725,1.351099967956543
32,10328,,,0.5044000148773193,1.3624109029769897,,
33,10641,,,,,0.5059999823570251,1.3482890129089355
33,10641,,,0.503600001335144,1.3600828647613525,,
34,10954,,,,,0.5095999836921692,1.3465594053268433
34,10954,,,0.503600001335144,1.3587640523910522,,
35,11267,,,,,0.5099999904632568,1.3471578359603882
35,11267,,,0.507099986076355,1.3586266040802002,,
36,11580,,,,,0.5130000114440918,1.3453766107559204
36,11580,,,0.5055000185966492,1.3578499555587769,,
37,11893,,,,,0.5088000297546387,1.3531765937805176
37,11893,,,0.5069000124931335,1.355482816696167,,
38,12206,,,,,0.5052000284194946,1.3454124927520752
38,12206,,,0.5066999793052673,1.3568577766418457,,
39,12519,,,,,0.5126000046730042,1.3465890884399414
39,12519,,,0.5063999891281128,1.356067180633545,,
40,12832,,,,,0.5144000053405762,1.3451812267303467
40,12832,,,0.5065000057220459,1.3554812669754028,,
41,13145,,,,,0.5130000114440918,1.3455703258514404
41,13145,,,0.5091000199317932,1.3536242246627808,,
42,13458,,,,,0.5123999714851379,1.3431390523910522
42,13458,,,0.506600022315979,1.3558343648910522,,
43,13771,,,,,0.5157999992370605,1.3468188047409058
43,13771,,,0.5088000297546387,1.3524733781814575,,
44,14084,,,,,0.5103999972343445,1.342915654182434
44,14084,,,0.5067999958992004,1.3528811931610107,,
45,14397,,,,,0.5148000121116638,1.3446906805038452
45,14397,,,0.5085999965667725,1.3515468835830688,,
46,14710,,,,,0.5077999830245972,1.3450937271118164
46,14710,,,0.5081999897956848,1.354398488998413,,
47,15023,,,,,0.5058000087738037,1.347557783126831
47,15023,,,0.5098999738693237,1.3516390323638916,,
48,15336,,,,,0.5139999985694885,1.3463281393051147
48,15336,,,0.5083000063896179,1.3511828184127808,,
49,15649,,,,,0.5099999904632568,1.3408000469207764
49,15649,,,0.507099986076355,1.3506969213485718,,
50,15962,,,,,0.5088000297546387,1.3431625366210938
50,15962,,,0.5072000026702881,1.3510562181472778,,
51,16275,,,,,0.5103999972343445,1.3418452739715576
51,16275,,,0.505299985408783,1.3518781661987305,,
52,16588,,,,,0.5055999755859375,1.3423594236373901
52,16588,,,0.5081999897956848,1.350156307220459,,
53,16901,,,,,0.5117999911308289,1.3411078453063965
53,16901,,,0.5080000162124634,1.349487543106079,,
54,17214,,,,,0.5095999836921692,1.3402109146118164
54,17214,,,0.5074999928474426,1.3504531383514404,,
55,17527,,,,,0.5080000162124634,1.3422281742095947
55,17527,,,0.503600001335144,1.348817229270935,,
56,17840,,,,,0.5088000297546387,1.339715600013733
56,17840,,,0.5041000247001648,1.3509453535079956,,
57,18153,,,,,0.5091999769210815,1.3414359092712402
57,18153,,,0.5058000087738037,1.3489406108856201,,
58,18466,,,,,0.5098000168800354,1.3400453329086304
58,18466,,,0.5047000050544739,1.3506156206130981,,
59,18779,,,,,0.5135999917984009,1.341182827949524
59,18779,,,0.503000020980835,1.3497015237808228,,
60,19092,,,,,0.5134000182151794,1.33781099319458
60,19092,,,0.5062000155448914,1.3492265939712524,,
61,19405,,,,,0.504800021648407,1.34171724319458
61,19405,,,0.5067999958992004,1.349039077758789,,
62,19718,,,,,0.5054000020027161,1.343848466873169
62,19718,,,0.506600022315979,1.348539113998413,,
63,20031,,,,,0.49239999055862427,1.364045262336731
63,20031,,,0.5073000192642212,1.347854733467102,,
64,20344,,,,,0.5090000033378601,1.3403047323226929
64,20344,,,0.5044000148773193,1.3486827611923218,,
65,20657,,,,,0.4968000054359436,1.358746886253357
65,20657,,,0.5084999799728394,1.3486000299453735,,
66,20970,,,,,0.498199999332428,1.3535984754562378
66,20970,,,0.5069000124931335,1.3475531339645386,,
67,21283,,,,,0.508400022983551,1.3386437892913818
67,21283,,,0.5077000260353088,1.3478422164916992,,
68,21596,,,,,0.49059998989105225,1.3630437850952148
68,21596,,,0.5066999793052673,1.3494765758514404,,
69,21909,,,,,0.5099999904632568,1.3386281728744507
69,21909,,,0.5062999725341797,1.3483797311782837,,
70,22222,,,,,0.492000013589859,1.3644468784332275
70,22222,,,0.5065000057220459,1.3477905988693237,,
71,22535,,,,,0.5072000026702881,1.3433187007904053
71,22535,,,0.5031999945640564,1.349746823310852,,
72,22848,,,,,0.5052000284194946,1.3437156677246094
72,22848,,,0.5062999725341797,1.3492796421051025,,
73,23161,,,,,0.5091999769210815,1.3389109373092651
73,23161,,,0.5066999793052673,1.3485218286514282,,
74,23474,,,,,0.5077999830245972,1.3379578590393066
74,23474,,,0.5049999952316284,1.3469265699386597,,
75,23787,,,,,0.5145999789237976,1.3404109477996826
75,23787,,,0.5038999915122986,1.348982810974121,,
76,24100,,,,,0.5103999972343445,1.345857858657837
76,24100,,,0.5059000253677368,1.347109317779541,,
77,24413,,,,,0.506600022315979,1.3414890766143799
77,24413,,,0.5067999958992004,1.3485187292099,,
78,24726,,,,,0.5109999775886536,1.3389922380447388
78,24726,,,0.5051000118255615,1.3460609912872314,,
79,25039,,,,,0.5103999972343445,1.340471863746643
79,25039,,,0.5065000057220459,1.348803162574768,,
80,25352,,,,,0.5108000040054321,1.341306209564209
80,25352,,,0.5044999718666077,1.3468047380447388,,
81,25665,,,,,0.503000020980835,1.368456244468689
81,25665,,,0.5063999891281128,1.348382830619812,,
82,25978,,,,,0.5080000162124634,1.3387718200683594
82,25978,,,0.5048999786376953,1.3484140634536743,,
83,26291,,,,,0.5070000290870667,1.339720368385315
83,26291,,,0.5066999793052673,1.347749948501587,,
84,26604,,,,,0.5080000162124634,1.338196873664856
84,26604,,,0.5069000124931335,1.347142219543457,,
85,26917,,,,,0.5108000040054321,1.338589072227478
85,26917,,,0.5062000155448914,1.3463921546936035,,
86,27230,,,,,0.5041999816894531,1.3388515710830688
86,27230,,,0.5063999891281128,1.3472609519958496,,
87,27543,,,,,0.5113999843597412,1.3502625226974487
87,27543,,,0.5062000155448914,1.3462812900543213,,
88,27856,,,,,0.5112000107765198,1.3489984273910522
88,27856,,,0.503600001335144,1.3475641012191772,,
89,28169,,,,,0.5091999769210815,1.3405078649520874
89,28169,,,0.5077000260353088,1.3467671871185303,,
90,28482,,,,,0.5012000203132629,1.345868706703186
90,28482,,,0.5059999823570251,1.3456624746322632,,
91,28795,,,,,0.5090000033378601,1.3413718938827515
91,28795,,,0.5054000020027161,1.3466421365737915,,
92,29108,,,,,0.5073999762535095,1.3392562866210938
92,29108,,,0.5044000148773193,1.345871925354004,,
93,29421,,,,,0.5130000114440918,1.3407844305038452
93,29421,,,0.5055000185966492,1.348504662513733,,
94,29734,,,,,0.5059999823570251,1.3417469263076782
94,29734,,,0.5037999749183655,1.348815679550171,,
95,30047,,,,,0.5070000290870667,1.3442171812057495
95,30047,,,0.5058000087738037,1.3480827808380127,,
96,30360,,,,,0.5126000046730042,1.3434468507766724
96,30360,,,0.5037000179290771,1.3466203212738037,,
97,30673,,,,,0.5108000040054321,1.3492374420166016
97,30673,,,0.5037000179290771,1.3469046354293823,,
98,30986,,,,,0.5095999836921692,1.338546872138977
98,30986,,,0.5062999725341797,1.3466453552246094,,
99,31299,,,,,0.5094000101089478,1.3404546976089478
99,31299,,,0.5063999891281128,1.3458484411239624,,
100,31300,,,,,0.5094000101089478,1.3404546976089478
100,31300,0.5108000040054321,1.343593716621399,,,,
