epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,624,,,,,0.08519269526004791,2.7666471004486084
0,624,,,0.12079831957817078,2.706875801086426,,
1,1249,,,,,0.09229209274053574,2.7312135696411133
1,1249,,,0.127701073884964,2.6466288566589355,,
2,1874,,,,,0.08519269526004791,2.737698793411255
2,1874,,,0.13400359451770782,2.6234118938446045,,
3,2499,,,,,0.09533468633890152,2.7025861740112305
3,2499,,,0.14895957708358765,2.5984559059143066,,
4,3124,,,,,0.10446247458457947,2.6920876502990723
4,3124,,,0.15406163036823273,2.5867862701416016,,
5,3749,,,,,0.1217038556933403,2.6622321605682373
5,3749,,,0.15906362235546112,2.5702342987060547,,
6,4374,,,,,0.10141988098621368,2.70119571685791
6,4374,,,0.16371548175811768,2.5624406337738037,,
7,4999,,,,,0.10141988098621368,2.7012670040130615
7,4999,,,0.16546618938446045,2.5610604286193848,,
8,5624,,,,,0.11054766923189163,2.683819532394409
8,5624,,,0.16516606509685516,2.5584070682525635,,
9,6249,,,,,0.13691683113574982,2.667358636856079
9,6249,,,0.16516606509685516,2.5499684810638428,,
10,6874,,,,,0.1348884403705597,2.66325044631958
10,6874,,,0.1668667495250702,2.542809247970581,,
11,7499,,,,,0.10649087280035019,2.6746084690093994
11,7499,,,0.16706682741641998,2.540536642074585,,
12,8124,,,,,0.1115618646144867,2.6778810024261475
12,8124,,,0.17306922376155853,2.5384857654571533,,
13,8749,,,,,0.1318458467721939,2.6524784564971924
13,8749,,,0.17036814987659454,2.532954692840576,,
14,9374,,,,,0.13793103396892548,2.6488852500915527
14,9374,,,0.17096838355064392,2.5360846519470215,,
15,9999,,,,,0.1267748475074768,2.645240306854248
15,9999,,,0.17101840674877167,2.5254249572753906,,
16,10624,,,,,0.1166328564286232,2.64538311958313
16,10624,,,0.17416967451572418,2.5238821506500244,,
17,11249,,,,,0.13691683113574982,2.634955883026123
17,11249,,,0.17577031254768372,2.5192365646362305,,
18,11874,,,,,0.1318458467721939,2.6305503845214844
18,11874,,,0.17201881110668182,2.5164754390716553,,
19,12499,,,,,0.13793103396892548,2.6432080268859863
19,12499,,,0.17391957342624664,2.5169012546539307,,
20,13124,,,,,0.16024340689182281,2.624279022216797
20,13124,,,0.1795218139886856,2.5118484497070312,,
21,13749,,,,,0.1480730175971985,2.638113260269165
21,13749,,,0.20098039507865906,2.489138603210449,,
22,14374,,,,,0.1764705926179886,2.618696928024292
22,14374,,,0.20438174903392792,2.4881412982940674,,
23,14999,,,,,0.17241379618644714,2.6182334423065186
23,14999,,,0.20653261244297028,2.480740785598755,,
24,15624,,,,,0.1784989833831787,2.610543727874756
24,15624,,,0.210634246468544,2.4819607734680176,,
25,16249,,,,,0.1815415769815445,2.6330344676971436
25,16249,,,0.21258503198623657,2.4781317710876465,,
26,16874,,,,,0.12880323827266693,2.627155065536499
26,16874,,,0.2134353667497635,2.4754011631011963,,
27,17499,,,,,0.17748478055000305,2.6338424682617188
27,17499,,,0.21278510987758636,2.4774057865142822,,
28,18124,,,,,0.14908722043037415,2.637380361557007
28,18124,,,0.2143857479095459,2.4730165004730225,,
29,18749,,,,,0.1582150161266327,2.6162049770355225
29,18749,,,0.21498599648475647,2.473834753036499,,
30,19374,,,,,0.16632859408855438,2.633584976196289
30,19374,,,0.2142857164144516,2.470890760421753,,
31,19999,,,,,0.16024340689182281,2.6305582523345947
31,19999,,,0.21828731894493103,2.469426155090332,,
32,20624,,,,,0.1815415769815445,2.6174211502075195
32,20624,,,0.2163865566253662,2.469747304916382,,
33,21249,,,,,0.17444218695163727,2.6246910095214844
33,21249,,,0.21653661131858826,2.4686553478240967,,
34,21874,,,,,0.17241379618644714,2.6252615451812744
34,21874,,,0.21728691458702087,2.467151641845703,,
35,22499,,,,,0.1551724076271057,2.635423183441162
35,22499,,,0.22183874249458313,2.4632439613342285,,
36,23124,,,,,0.15618661046028137,2.6282405853271484
36,23124,,,0.2168867588043213,2.463973045349121,,
