epoch,step,test_loss,test_mAP,train_loss,train_mAP,val_loss,val_mAP
0,624,,,,,21.5185546875,0.0872790664434433
0,624,,,22.112354278564453,0.08946976810693741,,
1,1249,,,,,21.211660385131836,0.0872790664434433
1,1249,,,21.25417137145996,0.08946976810693741,,
2,1874,,,,,21.035722732543945,0.0872790664434433
2,1874,,,21.027809143066406,0.08946976810693741,,
3,2499,,,,,20.818857192993164,0.0872790664434433
3,2499,,,20.859006881713867,0.08946976810693741,,
4,3124,,,,,20.175460815429688,0.0872790664434433
4,3124,,,20.38332748413086,0.08946976810693741,,
5,3749,,,,,19.659984588623047,0.0872790664434433
5,3749,,,19.913166046142578,0.08946976810693741,,
6,4374,,,,,19.247238159179688,0.0872790664434433
6,4374,,,19.401817321777344,0.08946976810693741,,
7,4999,,,,,18.900157928466797,0.0872790664434433
7,4999,,,19.0076904296875,0.08946976810693741,,
8,5624,,,,,18.587966918945312,0.0872790664434433
8,5624,,,18.652528762817383,0.08946976810693741,,
9,6249,,,,,18.395883560180664,0.0872790664434433
9,6249,,,18.398101806640625,0.08946976810693741,,
10,6874,,,,,18.338342666625977,0.0872790664434433
10,6874,,,18.29438018798828,0.08946976810693741,,
11,7499,,,,,18.329723358154297,0.0872790664434433
11,7499,,,18.267969131469727,0.08946976810693741,,
12,8124,,,,,18.32131576538086,0.0872790664434433
12,8124,,,18.258777618408203,0.08946976810693741,,
13,8749,,,,,18.319580078125,0.0872790664434433
13,8749,,,18.252880096435547,0.08946976810693741,,
14,9374,,,,,18.319948196411133,0.0872790664434433
14,9374,,,18.251426696777344,0.08946976810693741,,
15,9999,,,,,18.32194709777832,0.0872790664434433
15,9999,,,18.251340866088867,0.08946976810693741,,
16,10624,,,,,18.319965362548828,0.0872790664434433
16,10624,,,18.251020431518555,0.08946976810693741,,
17,11249,,,,,18.32064437866211,0.0872790664434433
17,11249,,,18.251028060913086,0.08946976810693741,,
18,11874,,,,,18.320186614990234,0.0872790664434433
18,11874,,,18.251161575317383,0.08946976810693741,,
19,12499,,,,,18.319974899291992,0.0872790664434433
19,12499,,,18.251161575317383,0.08946976810693741,,
20,13124,,,,,18.319509506225586,0.0872790664434433
20,13124,,,18.25112533569336,0.08946976810693741,,
21,13749,,,,,18.321369171142578,0.0872790664434433
21,13749,,,18.2508602142334,0.08946976810693741,,
22,14374,,,,,18.32050323486328,0.0872790664434433
22,14374,,,18.251052856445312,0.08946976810693741,,
23,14999,,,,,18.31982421875,0.0872790664434433
23,14999,,,18.251136779785156,0.08946976810693741,,
24,15624,,,,,18.320877075195312,0.0872790664434433
24,15624,,,18.251054763793945,0.08946976810693741,,
25,16249,,,,,18.319673538208008,0.0872790664434433
25,16249,,,18.251008987426758,0.08946976810693741,,
26,16874,,,,,18.31890106201172,0.0872790664434433
26,16874,,,18.250978469848633,0.08946976810693741,,
27,17499,,,,,18.320308685302734,0.0872790664434433
27,17499,,,18.251184463500977,0.08946976810693741,,
28,18124,,,,,18.320619583129883,0.0872790664434433
28,18124,,,18.25095558166504,0.08946976810693741,,
29,18749,,,,,18.319541931152344,0.0872790664434433
29,18749,,,18.25080680847168,0.08946976810693741,,
30,19374,,,,,18.31949234008789,0.0872790664434433
30,19374,,,18.250883102416992,0.08946976810693741,,
31,19999,,,,,18.319862365722656,0.0872790664434433
31,19999,,,18.250732421875,0.08946976810693741,,
32,20624,,,,,18.32242202758789,0.0872790664434433
32,20624,,,18.2509765625,0.08946976810693741,,
33,21249,,,,,18.321016311645508,0.0872790664434433
33,21249,,,18.25092124938965,0.08946976810693741,,
34,21874,,,,,18.319936752319336,0.0872790664434433
34,21874,,,18.251041412353516,0.08946976810693741,,
35,22499,,,,,18.3211727142334,0.0872790664434433
35,22499,,,18.25084686279297,0.08946976810693741,,
36,23124,,,,,18.321962356567383,0.0872790664434433
36,23124,,,18.250972747802734,0.08946976810693741,,
37,23749,,,,,18.320098876953125,0.0872790664434433
37,23749,,,18.25096321105957,0.08946976810693741,,
38,24374,,,,,18.32231330871582,0.0872790664434433
38,24374,,,18.25092887878418,0.08946976810693741,,
39,24999,,,,,18.320384979248047,0.0872790664434433
