epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,312,,,,0.19419999420642853,2.110804796218872
0,312,,0.1768999993801117,2.1443405151367188,,
1,625,,,,0.19820000231266022,2.1060640811920166
1,625,,0.19550000131130219,2.1035125255584717,,
2,938,,,,0.22439999878406525,2.0843000411987305
2,938,,0.19769999384880066,2.095362424850464,,
3,1251,,,,0.20600000023841858,2.087549924850464
3,1251,,0.21369999647140503,2.077775001525879,,
4,1564,,,,0.24240000545978546,2.06994366645813
4,1564,,0.21379999816417694,2.0672061443328857,,
5,1877,,,,0.23080000281333923,2.0535781383514404
5,1877,,0.22689999639987946,2.0622076988220215,,
6,2190,,,,0.25,2.0487422943115234
6,2190,,0.23800000548362732,2.0523781776428223,,
7,2503,,,,0.24220000207424164,2.0540125370025635
7,2503,,0.23520000278949738,2.0509750843048096,,
8,2816,,,,0.23479999601840973,2.0432751178741455
8,2816,,0.24079999327659607,2.0431718826293945,,
9,3129,,,,0.2590000033378601,2.0394749641418457
9,3129,,0.24009999632835388,2.0415468215942383,,
10,3442,,,,0.2526000142097473,2.0399937629699707
10,3442,,0.24449999630451202,2.0387187004089355,,
11,3755,,,,0.24539999663829803,2.037562608718872
11,3755,,0.2425999939441681,2.0411436557769775,,
12,4068,,,,0.2443999946117401,2.044879674911499
12,4068,,0.24789999425411224,2.035665512084961,,
13,4381,,,,0.23819999396800995,2.049482822418213
13,4381,,0.2502000033855438,2.0347812175750732,,
14,4694,,,,0.259799987077713,2.0336859226226807
14,4694,,0.251800000667572,2.0327155590057373,,
15,5007,,,,0.2671999931335449,2.0327467918395996
15,5007,,0.2468000054359436,2.035853147506714,,
16,5320,,,,0.23520000278949738,2.0345938205718994
16,5320,,0.24629999697208405,2.0350780487060547,,
17,5633,,,,0.2476000040769577,2.032618761062622
17,5633,,0.24660000205039978,2.0294907093048096,,
18,5946,,,,0.2572000026702881,2.027165651321411
18,5946,,0.2529999911785126,2.0275139808654785,,
19,6259,,,,0.2502000033855438,2.0301218032836914
19,6259,,0.25040000677108765,2.026651620864868,,
20,6572,,,,0.2637999951839447,2.026796817779541
20,6572,,0.2442999929189682,2.0338094234466553,,
21,6885,,,,0.24660000205039978,2.032942295074463
21,6885,,0.2533999979496002,2.026371955871582,,
22,7198,,,,0.24420000612735748,2.0282187461853027
22,7198,,0.25440001487731934,2.025768756866455,,
23,7511,,,,0.2484000027179718,2.040815591812134
23,7511,,0.25609999895095825,2.0229594707489014,,
24,7824,,,,0.24899999797344208,2.027120351791382
24,7824,,0.2535000145435333,2.0232656002044678,,
25,8137,,,,0.2696000039577484,2.0263280868530273
25,8137,,0.25589999556541443,2.0208420753479004,,
26,8450,,,,0.2298000007867813,2.0415797233581543
26,8450,,0.2517000138759613,2.0222561359405518,,
27,8763,,,,0.2637999951839447,2.021012544631958
27,8763,,0.2531999945640564,2.0223188400268555,,
28,9076,,,,0.2596000134944916,2.051365613937378
28,9076,,0.2572000026702881,2.0205624103546143,,
29,9389,,,,0.25540000200271606,2.0236358642578125
29,9389,,0.2513999938964844,2.0209295749664307,,
30,9702,,,,0.24979999661445618,2.0522890090942383
30,9702,,0.25450000166893005,2.016587495803833,,
31,10015,,,,0.2572000026702881,2.0181124210357666
31,10015,,0.25679999589920044,2.0210344791412354,,
32,10328,,,,0.2603999972343445,2.0331032276153564
32,10328,,0.25619998574256897,2.0174906253814697,,
33,10641,,,,0.2612000107765198,2.0179998874664307
33,10641,,0.24459999799728394,2.0295469760894775,,
34,10954,,,,0.26260000467300415,2.022684335708618
34,10954,,0.25440001487731934,2.0160093307495117,,
35,11267,,,,0.27160000801086426,2.025460958480835
35,11267,,0.2542000114917755,2.017068862915039,,
36,11580,,,,0.2655999958515167,2.014910936355591
36,11580,,0.26089999079704285,2.0140812397003174,,
37,11893,,,,0.257999986410141,2.019896984100342
37,11893,,0.26330000162124634,2.012559413909912,,
38,12206,,,,0.257999986410141,2.0203938484191895
38,12206,,0.2558000087738037,2.0164499282836914,,
39,12519,,,,0.25859999656677246,2.0272765159606934
39,12519,,0.259799987077713,2.012760877609253,,
40,12832,,,,0.23720000684261322,2.035339117050171
40,12832,,0.25929999351501465,2.0142250061035156,,
41,13145,,,,0.24240000545978546,2.024698495864868
41,13145,,0.2581999897956848,2.0143094062805176,,
42,13458,,,,0.26579999923706055,2.017792224884033
