epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,369,,,,,0.8818818926811218,0.5651593804359436
0,369,,,0.7406467199325562,0.6028540134429932,,
1,739,,,,,0.8918918967247009,0.5583058595657349
1,739,,,0.7717961668968201,0.580488383769989,,
2,1109,,,,,0.8978978991508484,0.5462127327919006
2,1109,,,0.786355197429657,0.5746471285820007,,
3,1479,,,,,0.8888888955116272,0.567642867565155
3,1479,,,0.7883866429328918,0.5703038573265076,,
4,1849,,,,,0.8958958983421326,0.5242452025413513
4,1849,,,0.7698493599891663,0.5588961839675903,,
5,2219,,,,,0.9029029011726379,0.5403420925140381
5,2219,,,0.7652784585952759,0.5523495674133301,,
6,2589,,,,,0.9079079031944275,0.5376358032226562
6,2589,,,0.7765362858772278,0.5511037707328796,,
7,2959,,,,,0.9099099040031433,0.526864767074585
7,2959,,,0.7721347808837891,0.5495579242706299,,
8,3329,,,,,0.9029029011726379,0.5233741998672485
8,3329,,,0.7692568302154541,0.5491753220558167,,
9,3699,,,,,0.8998998999595642,0.5126965641975403
9,3699,,,0.7750973701477051,0.5478110313415527,,
10,4069,,,,,0.8968968987464905,0.5152745246887207
10,4069,,,0.7738276720046997,0.5476128458976746,,
11,4439,,,,,0.8968968987464905,0.5218111276626587
11,4439,,,0.7732351422309875,0.5462886691093445,,
12,4809,,,,,0.8998998999595642,0.5221341848373413
12,4809,,,0.7736583948135376,0.5471358299255371,,
13,5179,,,,,0.9029029011726379,0.5322891473770142
13,5179,,,0.7728965878486633,0.5444985032081604,,
14,5549,,,,,0.8938938975334167,0.5201901197433472
14,5549,,,0.7614694237709045,0.546741247177124,,
15,5919,,,,,0.8988988995552063,0.5208426117897034
15,5919,,,0.7786524295806885,0.5439153909683228,,
16,6289,,,,,0.9059059023857117,0.5328922867774963
16,6289,,,0.769087553024292,0.5436722040176392,,
17,6659,,,,,0.8998998999595642,0.5135872960090637
17,6659,,,0.7838158011436462,0.5439109802246094,,
18,7029,,,,,0.9039039015769958,0.529293954372406
18,7029,,,0.7787370681762695,0.5426433682441711,,
19,7399,,,,,0.8968968987464905,0.5031508803367615
19,7399,,,0.7883866429328918,0.5430768132209778,,
20,7769,,,,,0.8988988995552063,0.5238515138626099
20,7769,,,0.7777213454246521,0.5400147438049316,,
21,8139,,,,,0.8928928971290588,0.5281121134757996
21,8139,,,0.7785677909851074,0.5401129722595215,,
22,8509,,,,,0.90190190076828,0.5247901678085327
22,8509,,,0.7841544151306152,0.5384113192558289,,
23,8879,,,,,0.9029029011726379,0.514478325843811
23,8879,,,0.7756898403167725,0.5382608771324158,,
24,9249,,,,,0.8848848938941956,0.525013267993927
24,9249,,,0.7712036371231079,0.5337978005409241,,
25,9619,,,,,0.8878878951072693,0.5037776827812195
25,9619,,,0.7766209840774536,0.5314689874649048,,
26,9989,,,,,0.890890896320343,0.5014768242835999
26,9989,,,0.7789910435676575,0.5271739363670349,,
27,10359,,,,,0.8728728890419006,0.5305058360099792
27,10359,,,0.7763670086860657,0.5259703993797302,,
28,10729,,,,,0.8788788914680481,0.5144666433334351
28,10729,,,0.780430018901825,0.5234184265136719,,
29,11099,,,,,0.8828828930854797,0.5050020813941956
29,11099,,,0.7794142365455627,0.5225368142127991,,
30,11469,,,,,0.8848848938941956,0.5019509196281433
30,11469,,,0.777213454246521,0.5198405981063843,,
31,11839,,,,,0.8808808922767639,0.5090540051460266
31,11839,,,0.7844083309173584,0.5180121064186096,,
32,12209,,,,,0.8758758902549744,0.5140188932418823
32,12209,,,0.7821229100227356,0.5182034969329834,,
33,12579,,,,,0.8828828930854797,0.49403873085975647
33,12579,,,0.7803453803062439,0.5163641571998596,,
34,12949,,,,,0.8748748898506165,0.502787709236145
34,12949,,,0.7810224890708923,0.5155727863311768,,
35,13319,,,,,0.8878878951072693,0.5166766047477722
35,13319,,,0.7763670086860657,0.5150438547134399,,
36,13689,,,,,0.8758758902549744,0.5063439607620239
36,13689,,,0.7872016429901123,0.5140208601951599,,
37,14059,,,,,0.8698698878288269,0.5117074847221375
37,14059,,,0.7868630290031433,0.5122482180595398,,
38,14429,,,,,0.8778778910636902,0.4938901364803314
38,14429,,,0.7822921872138977,0.5127356648445129,,
39,14799,,,,,0.8858858942985535,0.49619027972221375
39,14799,,,0.783392608165741,0.5119602084159851,,
40,15169,,,,,0.8818818926811218,0.4991583526134491
40,15169,,,0.7826308012008667,0.5113216638565063,,
41,15539,,,,,0.8868868947029114,0.5052090883255005
41,15539,,,0.7869476675987244,0.5094202756881714,,
42,15909,,,,,0.8898898959159851,0.49439552426338196
42,15909,,,0.7824614644050598,0.5107856392860413,,
43,16279,,,,,0.8818818926811218,0.5062476992607117
43,16279,,,0.7857626676559448,0.5089738368988037,,
44,16649,,,,,0.890890896320343,0.49321097135543823
44,16649,,,0.7922803163528442,0.5079471468925476,,
45,17019,,,,,0.8818818926811218,0.498311311006546
45,17019,,,0.7933807373046875,0.506887674331665,,
46,17389,,,,,0.8858858942985535,0.4919472634792328
46,17389,,,0.7926189303398132,0.5065525770187378,,
47,17759,,,,,0.8958958983421326,0.4902363419532776
47,17759,,,0.7877094745635986,0.506022036075592,,
48,18129,,,,,0.90190190076828,0.5007754564285278
48,18129,,,0.7873709201812744,0.5024343132972717,,
49,18499,,,,,0.8928928971290588,0.502221941947937
49,18499,,,0.7954968810081482,0.5002583861351013,,
50,18869,,,,,0.8968968987464905,0.48990029096603394
50,18869,,,0.7984594702720642,0.4970143437385559,,
51,19239,,,,,0.9029029011726379,0.49359026551246643
51,19239,,,0.8083629608154297,0.49670425057411194,,
52,19609,,,,,0.9069069027900696,0.46556028723716736
52,19609,,,0.8143727779388428,0.48907241225242615,,
53,19979,,,,,0.913913905620575,0.4758005142211914
53,19979,,,0.8207211494445801,0.4845861494541168,,
54,20349,,,,,0.9219219088554382,0.45553144812583923
54,20349,,,0.820551872253418,0.47744446992874146,,
55,20719,,,,,0.9219219088554382,0.4621865451335907
55,20719,,,0.8198747038841248,0.47349005937576294,,
56,21089,,,,,0.9169169068336487,0.4539158344268799
56,21089,,,0.8277467489242554,0.46650826930999756,,
57,21459,,,,,0.913913905620575,0.45032069087028503
57,21459,,,0.8360419869422913,0.46278056502342224,,
58,21829,,,,,0.9299299120903015,0.4557787775993347
58,21829,,,0.823853075504303,0.46226099133491516,,
59,22199,,,,,0.923923909664154,0.4450761675834656
59,22199,,,0.8257998824119568,0.46236687898635864,,
60,22569,,,,,0.913913905620575,0.45547086000442505
60,22569,,,0.8250380754470825,0.46046021580696106,,
61,22939,,,,,0.923923909664154,0.4550832509994507
61,22939,,,0.8303707242012024,0.45889630913734436,,
62,23309,,,,,0.924924910068512,0.449036180973053
62,23309,,,0.8309632539749146,0.45804154872894287,,
63,23679,,,,,0.923923909664154,0.441461980342865
63,23679,,,0.835280179977417,0.45538127422332764,,
64,24049,,,,,0.923923909664154,0.44883114099502563
